,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_with_Bank,Total_Bank_Products,Months_Inactive,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Average_Monthly_Spend,Total_Amt_Chng_Q4_Q1,Total_Yearly_Spend,Total_Transaction_Count,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
1188,714350658,Existing Customer,32,M,5,Graduate,Single,Unknown,Blue,31,30,13,23,17659,11081,22573,2,12312,176,3,0
1189,826478958,Existing Customer,52,M,3,College,Married,$80K - $120K,Blue,174,12,7,15,10382,2386,398,4,7691,26,2,3
1190,719127558,Existing Customer,43,M,9,High School,Divorced,$80K - $120K,Blue,33,9,9,23,178819,1853,76795,1,10022,346,1,0
1191,712454958,Existing Customer,40,M,26,Graduate,Single,$60K - $80K,Blue,32,30,4,11,2563,8346,1760,2,6360,121,4,2
1192,718561458,Existing Customer,54,M,4,High School,Married,$60K - $80K,Blue,39,6,5,23,103874,2112,43230,1,4341,138,1,0
1193,822984108,Existing Customer,34,F,17,High School,Single,Less than $40K,Blue,32,6,5,17,15781,3929,1761,1,7745,367,2,3
1194,719469333,Existing Customer,33,F,4,High School,Single,Less than $40K,Blue,27,9,14,23,32084,1198,12626,1,8164,367,2,0
1195,720871383,Existing Customer,36,M,10,Graduate,Married,$80K - $120K,Blue,34,25,13,17,5267,11765,4828,4,9778,157,2,2
1196,788827308,Existing Customer,65,M,5,Graduate,Married,Less than $40K,Blue,60,30,9,23,4214,9277,3893,2,7410,121,2,2
1197,710180958,Existing Customer,43,M,13,High School,Single,$40K - $60K,Blue,36,7,9,17,15750,4339,1201,1,5312,165,1,3
1198,778346283,Existing Customer,53,M,0,Graduate,Married,$120K +,Blue,40,20,13,17,19638,11228,25350,2,7670,182,3,0
1199,787547208,Existing Customer,48,F,10,College,Single,Less than $40K,Blue,137,9,7,20,36816,2548,4805,6,9027,39,5,1
1200,714983283,Attrited Customer,39,F,13,High School,Single,Less than $40K,Blue,39,9,5,17,18915,0,8384,1,2865,101,3,0
1201,789344358,Existing Customer,57,F,1,Unknown,Married,Less than $40K,Blue,47,4,1,3,3416,2468,948,0.598,1536,42,0.556,0.722
1202,710406633,Attrited Customer,51,F,3,Uneducated,Married,Unknown,Blue,36,3,3,2,3664,0,3664,0.839,1168,31,0.409,0
1203,767653233,Existing Customer,48,M,16,Graduate,Married,$60K - $80K,Blue,51,30,4,17,5689,5481,6841,3,13035,188,3,1
1204,719461008,Existing Customer,51,M,9,High School,Married,$60K - $80K,Blue,41,7,14,12,115697,3014,47270,1,4381,149,2,0
1205,789731433,Existing Customer,26,F,0,Unknown,Single,Less than $40K,Blue,13,4,2,4,2063,1390,673,0.877,2602,42,0.556,0.674
1206,775198608,Existing Customer,38,F,10,Graduate,Married,Less than $40K,Blue,38,25,13,17,4141,0,5878,2,8142,128,3,0
1207,717567333,Existing Customer,35,M,16,Graduate,Married,$60K - $80K,Blue,31,30,13,11,3731,11682,2666,2,6865,112,3,2
1208,772794108,Existing Customer,46,F,9,Doctorate,Single,Less than $40K,Blue,179,29,5,6,7026,1424,7959,2,4553,248,1,1
1209,712072908,Existing Customer,48,M,14,College,Single,$80K - $120K,Blue,130,12,7,10,14332,1097,1810,2,6736,25,1,1
1210,709328733,Existing Customer,49,F,2,Uneducated,Married,Less than $40K,Blue,37,6,3,3,9723,2459,7264,0.444,1258,24,1,0.253
1211,788107683,Existing Customer,35,M,17,High School,Married,$40K - $60K,Blue,29,9,9,17,27588,2272,9202,1,6030,229,1,1
1212,713757633,Existing Customer,65,F,0,Unknown,Married,$40K - $60K,Blue,56,3,2,4,7427,1303,6124,0.61,1596,42,0.909,0.175
1213,713279808,Existing Customer,53,M,2,Unknown,Married,$60K - $80K,Blue,36,6,3,3,5619,1310,4309,1.276,1816,30,1.143,0.233
1214,712440483,Existing Customer,54,F,2,Uneducated,Married,Less than $40K,Blue,44,3,1,3,5413,1836,3577,0.766,1164,43,0.593,0.339
1215,715078383,Existing Customer,64,F,0,Graduate,Married,Unknown,Blue,43,15,4,17,7148,5953,8807,1,6889,150,2,1
1216,709214358,Existing Customer,39,F,16,Graduate,Divorced,Unknown,Blue,36,15,13,11,2262,8381,1324,2,5629,77,2,3
1217,778399008,Existing Customer,50,M,0,High School,Married,$80K - $120K,Blue,32,4,19,12,22029,0,9764,1,5312,240,1,0
1218,811534983,Existing Customer,54,F,16,Graduate,Married,Less than $40K,Blue,59,25,9,23,1899,6301,1277,2,8030,150,2,3
1219,719728383,Existing Customer,38,F,21,Graduate,Married,Unknown,Blue,34,20,4,11,6414,9419,6985,5,9208,125,3,1
1220,718726833,Existing Customer,39,M,4,High School,Married,$80K - $120K,Blue,30,6,9,23,17236,0,7640,1,5535,192,2,0
1221,780605508,Existing Customer,53,M,1,Unknown,Married,$40K - $60K,Blue,41,5,1,3,2885,1433,1452,1.017,1170,23,0.769,0.497
1222,719450508,Existing Customer,53,M,9,High School,Married,$120K +,Blue,44,6,14,17,37674,3512,12022,1,7755,298,2,1
1223,711213108,Existing Customer,32,M,3,College,Divorced,$80K - $120K,Blue,130,15,7,20,173454,0,29530,4,11235,38,3,0
1224,708488208,Existing Customer,57,F,3,Uneducated,Married,Less than $40K,Blue,47,5,3,3,2515,1922,593,1.181,2231,58,0.611,0.764
1225,717206508,Existing Customer,65,F,0,High School,Married,Less than $40K,Blue,39,4,9,12,14496,3114,2278,1,5129,186,1,2
1226,821836008,Existing Customer,57,M,2,Uneducated,Single,$80K - $120K,Blue,53,5,2,4,34516,2099,32417,0.629,1233,26,0.857,0.061
1227,807244983,Existing Customer,65,F,0,College,Married,Less than $40K,Blue,203,18,2,10,7228,1013,649,3,11127,35,3,2
1228,821872758,Existing Customer,65,M,0,High School,Single,Less than $40K,Silver,60,6,9,23,65324,4339,23176,1,7050,261,1,1
1229,809959683,Existing Customer,55,M,7,College,Married,$80K - $120K,Blue,181,12,4,20,96280,3141,14588,3,8837,33,3,0
1230,715079208,Existing Customer,54,M,3,College,Married,$80K - $120K,Blue,152,12,2,20,48454,3751,6096,3,6828,22,2,1
1231,767049258,Existing Customer,44,M,17,High School,Single,$120K +,Blue,40,7,14,17,43498,2883,15441,1,4903,186,2,1
1232,709579383,Existing Customer,58,M,1,Uneducated,Married,$80K - $120K,Blue,50,5,3,2,6978,1148,5830,1.645,1362,26,1,0.165
1233,781923483,Existing Customer,53,F,3,College,Married,$40K - $60K,Blue,170,9,7,20,12357,2582,621,6,11254,39,3,2
1234,718654533,Existing Customer,33,F,4,High School,Single,Less than $40K,Silver,26,7,9,12,67122,0,29753,1,8284,298,2,0
1235,716169258,Existing Customer,47,F,26,Graduate,Married,Less than $40K,Blue,47,15,13,23,6664,9195,7390,1,6067,141,2,1
1236,713908683,Existing Customer,51,M,1,Unknown,Single,$80K - $120K,Blue,41,6,2,2,18749,1314,17435,0.711,1381,33,0.435,0.07
1237,708212658,Existing Customer,38,F,16,Graduate,Married,Less than $40K,Blue,22,30,13,11,2050,7427,1238,2,7435,150,2,3
1238,756013833,Existing Customer,57,M,9,Doctorate,Married,$80K - $120K,Blue,249,17,10,5,14436,4070,13663,2,2598,145,1,2
1239,719358333,Existing Customer,36,M,4,Uneducated,Married,$40K - $60K,Blue,28,3,1,4,2157,574,1583,0.825,1663,33,0.32,0.266
1240,713735508,Existing Customer,35,M,3,Uneducated,Married,$80K - $120K,Blue,25,3,1,2,11927,675,11252,0.574,1986,36,0.636,0.057
1241,805259733,Existing Customer,55,F,2,Unknown,Married,Unknown,Blue,50,6,1,4,11341,0,11341,0.412,1731,46,0.586,0
1242,738749733,Existing Customer,57,F,12,Doctorate,Married,Unknown,Blue,234,23,15,5,23448,3967,28399,1,2000,114,0,1
1243,814833408,Existing Customer,56,M,6,Doctorate,Married,$60K - $80K,Blue,254,17,15,6,19269,3082,23757,1,2505,171,0,1
1244,719182308,Existing Customer,38,F,9,High School,Single,Less than $40K,Blue,29,9,5,17,10859,2702,1215,1,5182,261,3,3
1245,818497758,Existing Customer,54,F,16,Graduate,Married,Less than $40K,Blue,59,20,4,17,1782,7491,843,1,5550,118,2,3
1246,719518308,Existing Customer,48,M,2,Unknown,Unknown,$80K - $120K,Blue,35,5,2,4,5039,0,5039,0.757,1390,23,0.769,0
1247,709991883,Attrited Customer,53,M,5,Graduate,Married,$80K - $120K,Blue,51,10,4,11,5809,6760,6725,2,3877,112,2,1
1248,770901258,Existing Customer,30,F,5,Graduate,Married,Less than $40K,Blue,20,15,4,17,1414,4774,932,3,10572,141,2,3
1249,711499158,Existing Customer,47,M,2,Uneducated,Married,$80K - $120K,Silver,38,4,3,4,34516,733,33783,1.229,3018,60,0.538,0.021
1250,720445533,Existing Customer,60,F,3,College,Married,Less than $40K,Blue,192,12,7,15,16815,1374,2074,5,6219,13,4,1
1251,809951133,Attrited Customer,54,M,10,College,Single,$120K +,Blue,177,9,4,15,173454,0,29530,6,10309,15,1,0
1252,714657108,Existing Customer,37,F,2,Uneducated,Married,Less than $40K,Blue,28,5,2,4,6660,1362,5298,1.36,2660,51,0.759,0.205
1253,789048858,Existing Customer,32,F,5,Post-Graduate,Married,Less than $40K,Blue,84,20,3,6,2009,5353,1991,4,9388,53,1,1
1254,771816408,Existing Customer,44,F,4,Uneducated,Married,Less than $40K,Blue,33,5,4,2,9671,704,8967,0.699,2955,66,0.941,0.073
1255,798158808,Existing Customer,53,F,3,College,Single,$40K - $60K,Blue,170,15,7,10,33192,2204,4386,4,9831,30,3,1
1256,787685658,Existing Customer,43,M,9,High School,Divorced,$80K - $120K,Blue,36,6,14,12,15972,3272,2721,1,4813,160,5,2
1257,720141408,Attrited Customer,49,F,10,Graduate,Single,Less than $40K,Blue,37,25,4,11,5101,5605,5979,2,4530,86,2,1
1258,788699808,Existing Customer,38,F,4,Unknown,Single,Unknown,Blue,14,4,1,2,4394,0,4394,0.889,1538,43,0.536,0
1259,708216108,Existing Customer,56,F,3,College,Married,$40K - $60K,Blue,159,15,2,20,20544,2320,2165,6,10967,25,4,1
1260,715074258,Existing Customer,26,F,0,Graduate,Single,$40K - $60K,Blue,43,25,13,17,3674,0,5216,2,8542,134,1,0
1261,771653583,Existing Customer,58,M,4,High School,Married,$60K - $80K,Blue,50,4,9,23,21697,1978,6983,1,4242,133,3,1
1262,717374358,Existing Customer,33,M,1,Unknown,Married,$60K - $80K,Blue,22,3,3,0,3637,1998,1639,1.412,2161,56,0.931,0.549
1263,720836808,Existing Customer,35,M,13,High School,Single,$80K - $120K,Blue,30,6,9,12,59688,1978,23823,1,7512,362,3,0
1264,818701383,Existing Customer,37,M,13,High School,Married,$60K - $80K,Blue,34,9,9,12,11672,2874,1346,1,5455,240,2,3
1265,717277833,Existing Customer,27,F,5,Graduate,Single,Unknown,Blue,16,30,9,23,2187,12260,344,2,9481,144,1,4
1266,778137108,Existing Customer,43,M,17,High School,Single,$80K - $120K,Blue,40,9,5,12,158029,4339,64268,1,6183,250,1,0
1267,720973833,Existing Customer,49,M,10,Graduate,Divorced,$60K - $80K,Blue,43,25,13,11,4297,0,6100,2,11869,198,2,0
1268,768490458,Attrited Customer,49,M,2,Uneducated,Married,$80K - $120K,Blue,43,1,3,3,5701,2517,3184,0.716,961,32,0.524,0.442
1269,751487358,Existing Customer,39,F,16,Graduate,Married,Less than $40K,Blue,38,25,26,17,3011,0,4275,2,7294,128,2,0
1270,712742808,Existing Customer,41,F,3,Uneducated,Married,Less than $40K,Blue,29,5,3,3,3022,1142,1880,0.403,1184,21,0.615,0.378
1271,712820208,Existing Customer,32,F,0,High School,Divorced,Less than $40K,Blue,39,7,9,23,13983,2774,2503,1,7117,298,2,2
1272,794649858,Existing Customer,58,F,1,Uneducated,Married,Less than $40K,Blue,39,3,3,3,2210,1624,586,0.627,1287,37,0.48,0.735
1273,755262933,Existing Customer,56,M,10,Post-Graduate,Married,$60K - $80K,Blue,205,20,4,8,1294,0,7762,5,6418,34,1,0
1274,709541433,Existing Customer,37,M,10,Graduate,Married,Less than $40K,Blue,43,15,13,23,1908,9943,470,2,6426,144,2,4
1275,820622433,Existing Customer,39,M,4,High School,Married,$120K +,Blue,37,6,9,12,16837,2927,3564,1,6668,309,1,2
1276,712586583,Existing Customer,26,F,0,Graduate,Single,$40K - $60K,Blue,16,30,13,23,1536,6489,719,2,8894,160,2,3
1277,709816158,Existing Customer,31,F,1,Unknown,Single,Unknown,Silver,36,4,3,2,34516,0,34516,0.791,2183,60,1.069,0
1278,712196508,Attrited Customer,46,F,13,High School,Single,Unknown,Blue,37,6,14,17,153055,2007,65170,1,3374,144,1,0
1279,767269908,Existing Customer,36,M,7,College,Married,$120K +,Blue,105,18,7,10,15870,0,2702,6,14490,40,5,0
1280,710927733,Existing Customer,39,M,1,Unknown,Married,$80K - $120K,Blue,36,6,2,3,2899,1999,900,0.832,1687,35,0.591,0.69
1281,711310908,Existing Customer,53,F,14,College,Married,Less than $40K,Blue,130,12,2,15,14935,3219,695,5,12438,39,3,3
1282,788862333,Existing Customer,38,F,3,Uneducated,Married,Less than $40K,Blue,23,6,2,2,5645,0,5645,1.05,1527,32,0.455,0
1283,713194608,Existing Customer,37,M,10,Graduate,Married,Less than $40K,Blue,43,30,13,11,2303,10320,945,2,8972,185,2,3
1284,793550958,Existing Customer,47,F,10,Graduate,Married,Less than $40K,Blue,49,25,13,23,1345,0,1909,2,6203,128,2,0
1285,712607583,Existing Customer,56,M,3,College,Divorced,$80K - $120K,Blue,130,9,7,15,173454,2201,28267,6,11673,32,3,0
1286,713921058,Existing Customer,55,F,13,High School,Married,Less than $40K,Blue,52,9,9,12,15009,2760,2976,1,4444,133,1,2
1287,709183683,Existing Customer,31,F,0,Uneducated,Single,Less than $40K,Blue,36,4,2,0,5391,0,5391,1.075,1971,56,0.6,0
1288,713407458,Existing Customer,62,F,0,Graduate,Single,Unknown,Blue,43,25,9,23,2683,13462,778,1,16308,236,2,4
1289,715241583,Existing Customer,34,M,13,High School,Married,$120K +,Blue,27,4,9,23,124126,4339,49240,1,6216,240,2,0
1290,710475408,Existing Customer,33,M,13,High School,Married,$60K - $80K,Blue,27,7,9,12,77287,3496,29601,2,7217,186,3,1
1291,708971583,Existing Customer,38,F,2,Uneducated,Single,Less than $40K,Blue,29,3,3,2,3590,1924,1666,0.573,1472,37,0.762,0.536
1292,714547458,Existing Customer,65,M,0,Graduate,Married,$40K - $60K,Blue,67,15,13,11,2147,0,3048,1,8022,163,1,0
1293,827631483,Existing Customer,57,M,4,High School,Married,$80K - $120K,Blue,57,4,9,23,129819,2948,53617,1,6824,293,1,0
1294,711159108,Attrited Customer,58,F,0,High School,Married,Less than $40K,Blue,39,4,9,12,38431,683,16126,1,3028,138,2,0
1295,789262683,Existing Customer,60,M,1,Unknown,Divorced,$40K - $60K,Blue,49,4,3,2,3012,0,3012,0.538,1315,23,0.278,0
1296,712940508,Existing Customer,39,M,3,Unknown,Single,$40K - $60K,Blue,24,3,1,4,4562,1721,2841,0.896,1896,50,1.5,0.377
1297,789733008,Existing Customer,39,F,9,High School,Married,Unknown,Blue,29,9,9,12,55553,2636,21113,2,9766,336,2,1
1298,714703158,Existing Customer,39,F,9,High School,Married,Less than $40K,Blue,39,9,9,17,8175,1310,1878,1,6705,229,2,2
1299,710255208,Existing Customer,60,M,0,Uneducated,Married,Less than $40K,Blue,49,4,2,4,2094,1560,534,0.537,1969,41,0.367,0.745
1300,779236083,Existing Customer,37,F,13,High School,Married,Less than $40K,Blue,20,7,5,17,21438,0,9503,2,8044,266,2,0
1301,713438358,Existing Customer,41,F,21,Graduate,Married,Unknown,Blue,36,15,4,11,5064,11222,4662,1,7307,179,2,2
1302,715973583,Existing Customer,56,M,3,Uneducated,Married,$120K +,Blue,36,6,3,3,34516,1047,33469,0.61,1378,30,0.429,0.03
1303,794113758,Existing Customer,60,M,0,High School,Married,$60K - $80K,Blue,58,9,5,12,49694,3393,17508,1,6053,293,1,1
1304,709452633,Existing Customer,56,F,17,High School,Single,Less than $40K,Blue,39,4,5,17,46010,3698,15469,1,6738,261,2,1
1305,788210583,Existing Customer,62,M,0,College,Married,$40K - $60K,Blue,195,9,7,20,7228,0,1231,4,8983,31,3,0
1306,717784983,Existing Customer,41,F,2,Uneducated,Married,Less than $40K,Blue,33,3,3,3,3893,1157,2736,1.169,1536,39,0.773,0.297
1307,786557358,Existing Customer,44,F,1,Unknown,Married,Less than $40K,Blue,38,5,2,4,3242,799,2443,0.459,1424,37,0.028,0.246
1308,768460908,Existing Customer,59,M,5,Graduate,Single,$40K - $60K,Blue,64,15,13,17,5642,8205,6162,1,6410,102,2,1
1309,718899708,Existing Customer,55,F,3,College,Married,Unknown,Blue,130,18,7,10,88657,2751,13514,4,10469,34,4,0
1310,714697533,Existing Customer,26,M,4,High School,Single,$60K - $80K,Blue,16,9,14,17,22417,0,9937,1,7792,256,1,0
1311,713206683,Attrited Customer,40,M,21,Graduate,Single,$80K - $120K,Silver,26,15,4,17,32269,0,45808,1,4249,83,1,0
1312,708679383,Existing Customer,44,F,2,Unknown,Unknown,Less than $40K,Blue,32,5,1,3,4852,1777,3075,0.667,1775,55,1.037,0.366
1313,713067033,Existing Customer,37,M,2,Uneducated,Single,Unknown,Blue,28,5,3,3,7147,1424,5723,0.821,2539,50,1.273,0.199
1314,789314133,Existing Customer,37,M,4,High School,Married,$60K - $80K,Blue,29,9,14,17,53465,3102,19568,1,5830,240,1,1
1315,713956308,Existing Customer,65,F,0,Graduate,Married,Less than $40K,Blue,59,20,9,11,3082,13539,1327,2,7828,179,2,3
1316,711595833,Existing Customer,46,M,10,College,Married,$60K - $80K,Blue,130,15,4,10,50158,1203,7849,3,7097,19,3,0
1317,779521533,Existing Customer,53,M,9,High School,Married,$120K +,Blue,39,7,14,17,17247,1883,5137,2,6575,176,2,1
1318,715225458,Existing Customer,56,F,1,Uneducated,Married,Less than $40K,Blue,36,6,3,4,5991,1993,3998,0.673,1867,53,0.767,0.333
1319,716487408,Existing Customer,48,M,16,Graduate,Married,$40K - $60K,Blue,36,15,4,17,3024,14835,953,2,6765,137,3,4
1320,719338383,Existing Customer,34,M,9,High School,Married,$120K +,Blue,23,4,14,17,32426,1833,11932,1,6103,266,1,1
1321,710523333,Existing Customer,65,M,0,Graduate,Married,Less than $40K,Blue,67,30,13,11,2376,9525,1228,1,5852,86,2,3
1322,787489083,Existing Customer,55,M,21,Post-Graduate,Married,$80K - $120K,Blue,180,24,3,8,19203,7224,101635,5,8376,29,1,0
1323,720747633,Existing Customer,32,M,1,Unknown,Married,$40K - $60K,Blue,36,3,2,4,8998,1471,7527,0.844,1931,48,0.371,0.163
1324,779480658,Existing Customer,58,F,21,Graduate,Married,Unknown,Blue,51,15,13,23,9580,9430,11476,1,7249,141,2,1
1325,711498258,Existing Customer,54,M,13,High School,Married,$120K +,Blue,45,9,14,12,105226,2853,42842,1,4208,181,1,0
1326,709316433,Existing Customer,52,M,9,High School,Single,$60K - $80K,Silver,36,9,5,23,171908,3443,71614,1,5418,229,2,0
1327,778734108,Existing Customer,36,M,3,Uneducated,Married,$60K - $80K,Blue,16,4,5,4,1686,1252,434,0.575,1758,42,1.1,0.743
1328,778388358,Attrited Customer,56,M,16,Graduate,Single,$60K - $80K,Blue,43,10,9,17,4433,5039,5159,1,3596,77,2,1
1329,716773533,Existing Customer,33,M,16,Graduate,Married,$60K - $80K,Blue,43,25,4,17,1614,7161,678,3,7075,153,2,3
1330,822130683,Existing Customer,61,M,0,Graduate,Married,$80K - $120K,Blue,67,20,9,23,7872,8187,9331,1,4604,109,2,1
1331,717268458,Existing Customer,61,M,0,Graduate,Married,$60K - $80K,Blue,59,20,13,23,3134,10097,2175,1,8067,160,2,2
1332,827888433,Existing Customer,43,M,4,Uneducated,Single,$40K - $60K,Blue,39,5,2,2,6648,2242,4406,0.79,2089,60,0.579,0.337
1333,716522583,Existing Customer,48,F,10,College,Divorced,Less than $40K,Blue,130,12,7,15,11734,2749,419,3,6638,21,1,3
1334,789415983,Existing Customer,36,M,16,Graduate,Married,$60K - $80K,Blue,32,20,13,11,11590,5900,15124,2,7803,134,1,0
1335,719819958,Existing Customer,34,M,2,Uneducated,Married,$40K - $60K,Blue,26,5,1,4,1438.3,708,730.3,1.212,2243,43,0.483,0.492
1336,769579608,Existing Customer,53,F,5,Graduate,Single,Less than $40K,Blue,55,15,26,23,2094,9436,848,2,15684,224,2,3
1337,772353408,Existing Customer,43,F,5,Unknown,Single,$40K - $60K,Blue,33,4,3,4,5330,1161,4169,0.558,1441,43,0.387,0.218
1338,716615583,Existing Customer,61,F,4,High School,Married,Less than $40K,Blue,55,4,14,17,9299,1369,2299,1,6096,314,3,2
1339,781131483,Existing Customer,55,M,9,High School,Married,$80K - $120K,Blue,51,4,5,23,29743,3265,8834,2,7213,272,2,1
1340,719101908,Existing Customer,51,F,5,Graduate,Married,Unknown,Blue,47,20,13,17,1872,7356,1001,1,6550,128,3,3
1341,720521808,Existing Customer,38,M,5,Graduate,Single,$80K - $120K,Blue,23,30,13,11,23991,8929,32046,1,6133,115,2,0
1342,718136283,Existing Customer,52,M,2,Uneducated,Single,$80K - $120K,Blue,36,3,1,4,22103,1515,20588,0.506,1541,29,0.318,0.069
1343,778855383,Existing Customer,36,F,21,High School,Married,Less than $40K,Blue,18,4,5,17,7451,0,3303,1,6565,213,1,0
1344,779722308,Attrited Customer,45,F,13,High School,Married,$40K - $60K,Blue,32,7,9,12,64008,0,28372,1,3470,149,1,0
1345,818926833,Existing Customer,34,F,10,College,Married,$40K - $60K,Blue,105,12,2,10,10051,0,1711,4,9475,27,4,0
1346,721217283,Existing Customer,27,M,0,Graduate,Single,$120K +,Blue,20,30,9,11,8146,7981,9766,1,8654,115,1,1
1347,717167283,Existing Customer,49,F,5,Unknown,Divorced,Less than $40K,Blue,36,4,1,4,9165,0,9165,0.597,1846,56,0.647,0
1348,713371233,Existing Customer,43,F,5,Graduate,Married,Less than $40K,Silver,37,25,4,11,10829,3719,14535,2,13721,176,3,0
1349,778426608,Existing Customer,52,M,21,Graduate,Married,$80K - $120K,Blue,38,20,13,17,1345,4138,977,2,7460,169,2,2
1350,713823033,Attrited Customer,31,F,2,Unknown,Married,Unknown,Blue,20,3,1,2,8149,0,8149,0.331,808,30,0.111,0
1351,787515333,Attrited Customer,40,M,3,Uneducated,Married,$80K - $120K,Blue,29,3,2,3,3616,1151,2465,0.687,820,21,0.75,0.318
1352,710944608,Existing Customer,39,M,16,Graduate,Unknown,$80K - $120K,Blue,37,30,9,23,7885,13097,8244,2,5844,86,3,1
1353,718444233,Existing Customer,45,M,16,Graduate,Married,$60K - $80K,Blue,30,15,13,11,9154,7727,11254,2,6815,188,2,1
1354,771099183,Existing Customer,37,F,10,Graduate,Single,Less than $40K,Blue,29,25,9,17,7894,11464,8625,2,10320,236,2,1
1355,770241333,Existing Customer,49,F,21,Graduate,Divorced,Less than $40K,Blue,52,15,4,23,2083,5912,1626,2,8695,141,2,2
1356,710819733,Attrited Customer,56,M,16,Graduate,Married,$120K +,Blue,43,25,4,6,11416,0,16206,1,3732,93,2,0
1357,772155108,Existing Customer,62,F,0,High School,Married,Less than $40K,Blue,55,9,14,23,7451,0,3303,1,4803,202,1,0
1358,798796233,Existing Customer,37,F,13,High School,Married,$40K - $60K,Blue,33,7,14,17,8217,1790,1258,1,5731,128,2,3
1359,815472108,Existing Customer,42,M,13,High School,Single,$40K - $60K,Blue,40,4,14,17,11641,1802,2760,1,4321,165,1,2
1360,769145733,Existing Customer,36,M,16,Graduate,Single,$60K - $80K,Blue,36,15,18,17,2607,9336,1599,2,11109,192,2,3
1361,783364233,Existing Customer,59,M,0,Graduate,Married,$40K - $60K,Blue,64,15,9,17,3965,0,5628,1,7431,144,2,0
1362,772236108,Existing Customer,40,F,5,Graduate,Married,Unknown,Blue,35,25,4,17,7851,11152,8634,2,6154,93,2,1
1363,715640358,Existing Customer,43,M,13,High School,Single,$40K - $60K,Blue,39,9,14,17,21303,1324,7679,1,4434,213,1,1
1364,713529858,Existing Customer,29,M,10,Graduate,Divorced,$40K - $60K,Silver,26,30,9,17,14564,8151,18839,2,10299,227,2,0
1365,715684308,Existing Customer,42,F,21,Graduate,Married,$40K - $60K,Blue,43,30,9,11,3747,9643,3148,1,5765,137,3,2
1366,709451508,Existing Customer,63,F,4,High School,Married,Unknown,Blue,54,9,5,17,66138,0,29316,1,3959,149,2,0
1367,709204158,Existing Customer,36,F,10,Post-Graduate,Single,Less than $40K,Blue,100,20,3,8,3092,3241,12460,4,10346,50,1,0
1368,713182458,Existing Customer,53,M,17,High School,Married,$80K - $120K,Blue,46,4,5,12,86477,4217,32715,1,4281,154,1,1
1369,710624658,Existing Customer,36,F,2,Uneducated,Married,Less than $40K,Blue,36,4,2,2,4066,1639,2427,1.749,3040,56,0.931,0.403
1370,716355783,Existing Customer,36,M,3,Unknown,Married,$60K - $80K,Blue,30,5,2,3,13080,0,13080,0.685,1999,44,0.571,0
1371,716793108,Existing Customer,26,M,0,College,Single,Less than $40K,Blue,130,12,2,10,9719,1594,739,2,11376,39,2,2
1372,716162583,Existing Customer,45,F,0,Unknown,Single,Less than $40K,Blue,36,6,2,3,3230,2517,713,0.615,1931,57,0.425,0.779
1373,714051033,Existing Customer,55,F,0,Graduate,Married,Less than $40K,Blue,43,30,9,23,3380,10014,2543,1,8129,128,2,2
1374,715007583,Existing Customer,61,F,0,Unknown,Unknown,Unknown,Blue,36,4,2,2,1801,0,1801,1.234,3193,62,1.48,0
1375,719139558,Existing Customer,26,M,0,Uneducated,Single,Less than $40K,Blue,36,4,3,4,2665,1567,1098,0.586,2514,64,0.455,0.588
1376,794632308,Existing Customer,40,M,21,Graduate,Married,$60K - $80K,Silver,30,25,13,11,26946,14835,34910,1,6216,112,1,0
1377,770662383,Existing Customer,38,M,10,Graduate,Single,$40K - $60K,Blue,29,30,13,11,13679,6825,17882,1,5782,115,2,0
1378,714787383,Existing Customer,32,F,0,College,Married,Unknown,Blue,130,15,7,15,33745,1958,4621,5,8437,26,2,1
1379,714700158,Existing Customer,53,M,2,Unknown,Married,$60K - $80K,Blue,46,3,2,3,6658,1761,4897,0.489,1309,40,0.6,0.264
1380,710581758,Existing Customer,52,F,10,Graduate,Single,$40K - $60K,Blue,53,30,9,17,3141,7185,2841,1,5410,96,3,2
1381,720497958,Existing Customer,29,M,5,Graduate,Married,$80K - $120K,Blue,17,25,13,11,13886,0,19712,2,7439,131,2,0
1382,720920058,Existing Customer,38,M,10,Graduate,Married,$60K - $80K,Blue,30,15,13,23,4488,7144,4762,3,12130,198,3,1
1383,710872233,Existing Customer,27,M,0,Unknown,Single,$40K - $60K,Blue,17,5,1,2,4610,0,4610,0.794,2280,49,0.4,0
1384,709855608,Existing Customer,46,F,17,High School,Married,Less than $40K,Blue,39,4,14,23,7451,1691,1050,1,3703,176,2,3
1385,815484783,Existing Customer,57,M,0,Uneducated,Single,$60K - $80K,Blue,42,6,4,3,8377,1211,7166,0.813,1797,44,1.2,0.145
1386,771602883,Existing Customer,42,M,13,High School,Single,$80K - $120K,Blue,32,6,24,23,21485,2964,5576,1,5904,234,1,2
1387,755953308,Existing Customer,62,F,0,Post-Graduate,Married,$40K - $60K,Blue,230,24,1,8,2378,6335,2358,5,5300,27,1,1
1388,758408883,Existing Customer,37,F,5,Graduate,Unknown,$40K - $60K,Blue,36,25,13,23,12486,9613,15559,2,7939,118,3,1
1389,717940008,Existing Customer,57,F,2,Unknown,Divorced,$40K - $60K,Blue,36,5,2,2,3251,1887,1364,1.007,3228,67,0.763,0.58
